result_type,model,surface,benchmark_or_pack,domain_or_task,runs,passed,pass_rate,available,wall_duration_ms,failure_class_or_modes,source_file,notes
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,multi_agent_decomposition,1,0,0.0,,25162.6,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,public_content_law,1,1,1.0,,17451.8,{},C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,regex_pattern_creation,1,0,0.0,,39125.1,"{""json_parse_error"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:e4b,ollama_http,operations_first_pack_2026-06-07,role_based_task_execution,1,0,0.0,,41089.8,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_overall,qwen2.5-coder:7b,ollama_http,operations_first_pack_2026-06-07,all_operation_domains,13,0,0.0,,,"{""unavailable_or_timeout"": 13}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Strict one-trial operation fixture matrix; route only where validators pass.
operation_domain,qwen2.5-coder:7b,ollama_http,operations_first_pack_2026-06-07,compliance_policy,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,qwen2.5-coder:7b,ollama_http,operations_first_pack_2026-06-07,computer_control_app_use,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,qwen2.5-coder:7b,ollama_http,operations_first_pack_2026-06-07,conceptualization_strategy,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,qwen2.5-coder:7b,ollama_http,operations_first_pack_2026-06-07,data_analytics_kpi_diagnostics,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,qwen2.5-coder:7b,ollama_http,operations_first_pack_2026-06-07,financial_operations,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,qwen2.5-coder:7b,ollama_http,operations_first_pack_2026-06-07,full_business_operations,1,0,0.0,,,"{""unavailable_or_timeout"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
